4;4;4;4;4;4;4;4;5;3;5;3;4;4;4;5;4;4;3;5;4;4;4;4;4;3;4;5;3;5;4;4;4;4;4;4;4;5;4;4;4;3;5;4;4;4;4;5;4;5;3;5;4;4;4;4;4;4;4;4;5;4;4;4;5;5;5;3;5;5;4;4;4;4;4;5;4;4;3;3;4;4;4;4;4;5;4;4;4;4;4;4;4;4;4;3;5;4;3;5;
4;4;4;4;4;3;5;3;5;3;4;4;4;4;4;4;4;4;4;4;3;5;3;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;5;4;4;4;4;4;4;5;4;4;4;4;4;4;4;3;4;4;4;3;4;4;2;4;3;3;3;4;4;3;3;3;3;2;3;4;3;3;3;4;4;3;4;3;4;4;4;4;4;5;3;4;4;5;4;4;4;5;4;4;4;4;
4;4;4;5;4;5;4;3;5;4;4;4;4;3;4;5;4;4;4;4;4;4;3;5;4;4;5;5;4;4;4;4;4;4;3;5;4;4;4;3;4;4;4;4;4;5;4;4;4;4;4;4;4;4;4;4;4;3;5;4;3;5;4;5;4;4;4;4;4;4;4;4;4;4;4;3;5;4;4;4;4;4;4;4;3;5;4;3;4;4;4;4;4;4;4;4;4;5;4;3;
4;4;5;4;4;4;4;4;4;3;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;5;3;4;4;5;4;4;4;4;4;5;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;3;5;4;4;4;5;4;3;5;4;5;4;4;4;4;5;4;4;4;4;4;4;4;4;4;3;4;4;4;4;4;4;5;4;4;4;4;4;4;4;4;3;5;4;
5;4;3;5;5;4;4;4;3;4;4;4;3;4;4;4;4;3;4;4;4;4;4;4;4;5;4;4;4;5;4;4;3;5;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;3;4;4;4;4;4;4;4;4;5;4;4;4;4;4;5;4;4;4;5;3;5;4;3;4;4;4;4;4;5;4;4;5;4;4;4;4;4;4;4;4;4;4;5;4;4;4;
3;4;4;4;4;4;4;4;4;4;4;4;5;4;4;4;4;4;4;4;4;4;4;3;5;4;4;4;4;4;5;3;5;4;4;4;4;5;3;5;3;4;4;5;3;4;4;5;4;4;4;4;4;4;4;4;5;2;4;4;4;4;4;4;4;4;4;4;5;4;4;4;4;5;4;4;5;4;4;4;5;4;4;4;4;4;3;5;4;5;4;5;4;4;4;4;4;4;4;4;
4;4;4;4;4;4;5;4;5;4;3;5;4;4;4;4;5;4;4;4;4;4;4;2;4;4;4;4;4;3;4;5;3;4;5;4;5;3;4;5;5;3;4;4;4;5;4;4;3;4;5;4;4;3;4;4;4;3;4;4;4;4;3;3;4;3;3;3;3;3;3;3;4;3;2;4;5;4;3;4;5;4;2;4;4;4;3;3;3;3;2;2;3;3;4;4;4;4;4;4;
4;5;4;4;4;4;4;3;4;4;4;4;4;4;4;4;4;4;5;4;4;5;4;4;4;5;3;4;4;4;4;4;4;4;3;5;4;3;4;3;4;4;4;4;4;5;3;5;4;4;5;3;5;4;5;4;4;4;4;4;4;4;4;4;4;4;4;4;5;3;5;4;4;3;4;4;4;4;4;4;5;4;3;3;4;5;4;4;4;4;4;4;4;4;4;5;4;3;4;4;
5;5;4;4;4;4;4;4;4;3;5;4;4;4;4;4;4;4;5;3;4;4;4;4;4;5;4;4;5;4;4;4;3;4;5;4;4;4;4;4;4;4;4;4;4;5;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;5;3;5;4;4;4;4;3;4;4;4;3;4;4;4;4;5;5;5;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;3;3;3;
4;4;4;4;3;4;4;4;5;3;4;4;4;4;4;4;5;4;4;3;4;4;4;4;4;4;4;4;4;5;4;4;4;4;4;4;4;4;4;4;4;4;4;4;3;4;4;4;5;4;4;4;4;4;4;3;4;4;4;4;4;4;4;4;4;5;4;4;4;4;4;5;4;4;4;4;4;4;5;3;3;4;4;4;4;4;4;5;4;5;4;5;4;4;4;4;4;4;4;4;
4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;3;5;3;4;4;4;4;4;3;4;4;5;3;5;3;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;5;4;4;4;4;4;4;4;5;4;4;4;5;4;5;3;4;4;4;4;5;3;4;4;4;4;4;4;3;4;5;3;4;4;4;4;4;3;4;4;4;5;3;4;
4;4;4;3;5;4;4;5;4;4;4;4;4;4;4;4;5;4;4;4;5;4;4;4;3;4;4;4;4;4;4;5;4;5;5;4;5;4;4;4;4;4;4;4;5;3;4;4;4;5;4;4;4;4;4;4;5;4;4;5;4;3;4;4;5;4;4;4;3;4;2;4;4;2;4;4;4;4;3;4;4;2;4;4;3;3;5;5;3;2;5;4;4;4;5;5;3;3;4;6;
4;3;4;4;5;2;2;3;4;4;4;4;4;4;4;4;5;4;4;5;4;4;4;4;4;4;4;4;5;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;5;4;3;4;4;4;4;4;4;4;4;4;4;4;4;4;4;5;2;5;4;4;4;4;4;4;5;3;5;4;4;4;5;3;5;4;3;4;4;5;5;4;4;4;5;4;4;4;4;5;4;3;5;4;4;
4;4;4;4;5;4;3;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;3;5;4;4;5;4;4;4;4;4;4;4;4;4;4;5;4;4;4;4;4;4;4;4;4;5;4;4;4;4;4;4;4;4;5;3;4;4;4;4;5;5;3;4;4;4;4;5;4;4;4;4;5;4;4;4;4;4;4;4;4;
4;4;4;4;4;4;4;4;4;4;4;3;4;4;4;4;3;5;4;3;5;4;5;4;4;4;4;4;3;4;4;4;4;3;4;4;4;4;5;4;4;4;5;4;4;4;4;4;4;4;4;4;5;4;4;4;5;4;4;4;5;4;4;4;4;4;4;4;5;4;4;4;4;4;4;4;4;4;4;4;4;4;4;5;3;4;4;4;4;3;4;4;4;4;4;4;5;4;4;4;
4;5;3;4;4;5;3;3;5;4;4;3;4;5;3;4;4;4;4;4;5;3;4;4;4;4;4;4;4;4;5;4;4;4;5;4;5;2;4;4;4;4;4;3;4;5;4;3;5;5;3;5;4;5;3;4;4;4;4;4;4;4;4;3;4;5;3;5;5;3;5;4;3;4;4;4;4;4;4;4;4;3;4;5;4;4;4;5;4;4;4;4;4;3;4;5;4;3;4;5;
4;4;4;4;4;4;4;4;4;4;4;5;4;4;4;4;3;5;4;4;3;4;4;4;4;3;4;5;5;3;4;3;4;5;5;4;2;4;4;4;4;4;4;4;5;3;4;4;3;5;4;3;5;4;4;4;4;4;4;5;3;5;3;4;4;4;4;4;4;4;4;4;4;4;3;5;4;3;2;5;4;2;6;3;4;4;4;4;4;4;4;4;3;4;5;2;4;5;4;3;
3;4;5;2;5;4;5;2;4;5;5;3;3;5;5;4;2;4;4;5;5;3;4;4;5;6;5;4;5;3;4;4;4;4;4;4;4;5;3;5;4;3;4;4;4;4;5;3;4;4;3;4;4;4;5;4;4;4;4;4;4;4;4;5;3;4;4;4;4;4;4;5;3;4;4;3;4;4;5;4;4;4;5;3;4;4;4;5;3;4;3;4;5;5;4;3;4;4;4;4;
4;4;4;4;4;4;4;4;4;4;3;5;5;4;3;5;3;4;4;5;4;3;5;3;4;4;4;4;4;4;4;4;4;4;4;4;4;4;5;4;3;5;4;4;3;4;4;4;4;5;3;4;5;4;3;4;4;4;5;3;5;4;4;4;4;4;4;4;5;3;4;4;4;4;4;4;4;4;4;4;4;3;4;5;4;4;4;4;4;4;5;4;3;4;4;4;4;4;4;4;
4;4;4;4;4;2;4;3;4;4;4;4;3;4;4;4;5;4;4;4;4;5;4;5;4;4;4;5;4;3;5;3;5;5;4;3;4;4;5;3;3;4;4;3;4;3;5;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;3;5;4;4;4;4;4;4;4;5;3;4;4;5;3;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;5;4;
4;4;4;4;4;4;4;4;4;4;4;5;3;5;4;4;4;5;4;4;4;4;4;4;4;4;4;5;4;5;4;4;5;4;5;4;4;4;4;4;4;4;4;4;4;4;4;4;5;4;5;4;4;4;4;5;4;4;4;4;4;4;4;4;3;4;4;4;4;4;4;4;4;4;5;4;3;5;3;4;5;3;4;4;4;4;4;4;4;4;3;5;6;4;4;4;4;4;4;4;
4;4;4;4;5;4;4;4;5;5;4;4;4;4;4;4;4;4;4;4;5;4;4;4;4;3;4;4;4;4;4;4;5;4;4;4;4;5;4;4;4;4;4;4;4;4;4;5;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;3;4;5;4;4;4;3;4;4;4;4;4;5;4;4;4;4;4;4;4;4;3;2;4;4;3;3;4;3;3;2;4;4;4;4;
4;4;3;5;4;3;3;6;5;3;4;4;5;4;4;4;5;3;4;6;4;4;3;4;5;4;3;4;3;5;5;3;4;3;3;4;3;2;3;3;4;4;4;4;4;4;4;4;4;4;4;3;4;4;5;4;4;3;5;4;4;4;4;4;5;3;4;4;4;5;4;4;4;5;4;5;4;4;4;4;4;4;4;4;4;4;4;4;5;3;5;3;4;4;4;4;5;3;4;5;
4;4;4;4;4;3;5;4;4;4;4;4;4;4;4;4;4;3;4;3;4;4;5;4;3;4;4;4;4;4;4;4;4;4;5;4;4;4;4;4;4;5;4;4;4;4;4;5;4;4;4;4;4;4;4;5;4;4;5;4;4;4;4;4;4;4;5;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;3;4;4;4;5;4;4;4;4;4;4;
4;5;3;5;4;4;4;4;4;4;4;4;5;4;4;4;5;5;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;3;5;4;4;4;4;4;4;3;4;4;5;4;5;4;4;4;4;4;4;4;4;3;5;4;4;3;4;4;5;4;4;4;4;4;4;4;4;4;3;4;4;4;4;4;3;4;4;4;4;5;3;4;4;5;4;4;4;5;4;4;4;5;
4;4;4;4;4;4;4;4;4;4;3;4;4;5;4;4;5;5;4;4;4;4;4;4;4;4;4;4;4;5;4;4;4;4;4;4;4;4;4;4;3;4;3;5;4;3;4;4;4;4;4;4;4;4;5;3;4;3;4;5;4;4;4;4;4;4;3;4;4;3;5;4;4;4;5;4;4;4;4;5;3;4;4;4;4;4;3;5;5;4;4;3;5;4;4;4;4;4;4;4;
4;5;4;3;4;4;4;3;5;4;3;4;4;4;4;4;3;4;4;4;4;4;4;5;3;5;4;5;4;4;4;4;4;4;4;4;4;4;5;3;4;4;4;4;4;4;4;4;4;4;3;3;5;4;4;4;5;4;3;5;4;4;4;4;4;4;4;5;3;5;4;5;4;4;5;4;5;4;4;4;4;4;4;3;4;5;4;5;4;4;4;5;4;4;3;4;2;4;4;4;
3;4;4;4;5;3;5;5;4;4;4;4;4;4;4;4;3;4;6;3;4;4;5;4;3;4;4;4;3;4;5;4;3;3;6;4;4;4;4;5;5;5;4;3;5;5;4;3;3;3;3;3;3;2;4;4;4;4;4;4;4;4;4;4;4;4;5;4;4;4;4;4;4;3;5;3;5;4;4;4;5;4;5;5;4;3;4;4;4;4;4;4;4;4;4;4;4;4;4;5;
5;3;5;4;4;5;4;4;5;4;4;4;4;5;4;4;3;4;4;4;4;4;4;4;4;4;4;3;4;5;4;4;4;4;4;5;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;5;3;5;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;5;3;5;5;4;4;4;4;4;4;4;4;4;3;5;4;4;4;5;3;
4;5;4;4;4;4;4;5;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;3;4;5;5;4;4;4;4;4;4;4;4;4;4;4;4;3;4;4;4;4;4;4;4;4;4;4;4;4;4;3;6;4;4;4;4;4;3;3;4;4;4;4;4;5;4;4;5;5;3;4;5;4;4;4;4;4;4;4;4;5;5;4;5;4;4;4;5;4;4;4;4;4;
4;4;4;4;4;4;5;4;4;4;5;3;4;4;4;4;4;4;4;5;3;4;4;4;4;4;4;4;4;3;4;4;4;4;4;5;4;4;4;4;4;4;5;5;4;4;4;4;4;4;4;4;4;5;4;3;5;4;5;4;4;5;4;4;4;4;4;5;4;4;4;4;4;4;5;4;4;4;4;4;4;4;5;4;4;4;4;4;5;4;4;4;5;5;4;4;4;4;4;4;
4;4;5;3;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;5;4;4;4;4;4;4;4;4;4;5;4;4;4;5;4;5;4;4;3;5;3;5;4;4;4;4;4;4;5;3;5;4;4;4;4;4;5;4;4;3;4;5;4;5;4;4;5;3;4;5;3;4;5;4;4;5;4;4;4;4;4;4;3;4;4;4;5;4;3;4;4;5;3;5;4;5;4;4;4;4;
3;4;4;3;2;3;3;4;4;4;3;4;5;4;5;4;3;6;4;3;5;4;4;4;4;4;3;4;5;5;4;2;5;4;4;4;5;5;3;4;4;5;3;3;6;4;4;3;4;4;4;4;3;3;5;4;4;3;4;5;5;4;3;3;2;3;3;4;3;3;4;4;4;4;4;5;4;4;4;4;4;4;5;4;4;4;5;4;4;4;4;4;4;4;3;4;5;4;4;5;
3;4;4;4;4;4;4;4;4;5;4;4;4;5;5;4;4;3;4;4;4;3;4;3;5;4;4;4;4;4;4;4;5;4;4;4;4;4;4;4;4;5;4;5;4;4;4;5;3;3;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;3;5;4;4;4;4;4;4;4;4;4;4;4;4;4;5;4;4;4;4;4;4;4;4;5;4;4;4;4;4;4;4;4;4;4;
4;4;4;4;4;4;4;4;4;4;5;5;4;4;4;5;3;5;3;4;4;5;4;4;4;4;4;4;4;4;4;4;4;5;4;4;4;5;4;5;4;5;5;4;4;4;4;4;4;4;4;4;4;4;4;4;3;4;4;4;4;4;4;4;4;4;4;4;5;3;5;3;4;3;3;4;3;4;4;4;4;4;4;4;4;4;4;4;5;3;4;4;5;4;4;4;4;4;4;4;
4;4;4;4;4;4;4;5;4;4;4;4;4;4;4;4;5;4;4;4;4;3;5;4;5;4;4;4;5;4;4;4;4;5;5;4;4;4;4;4;4;5;4;4;4;4;4;5;4;4;4;5;4;3;4;5;3;4;4;4;4;4;4;5;4;3;4;4;5;3;4;4;4;3;4;4;4;4;4;4;4;5;4;4;5;4;5;4;4;4;4;4;4;3;4;4;4;4;4;4;
5;4;4;4;4;4;3;4;4;4;5;3;4;4;4;3;5;4;5;5;4;4;4;4;4;4;4;4;5;4;5;4;4;4;5;4;4;4;4;4;4;5;3;4;4;4;3;4;4;5;4;4;4;4;4;4;4;4;5;4;4;4;5;4;4;5;4;3;4;4;4;5;4;4;4;3;5;4;4;4;3;4;5;3;4;4;4;4;4;4;4;4;3;5;4;4;4;4;4;4;
5;5;4;4;4;4;4;4;4;4;4;4;5;4;3;2;4;3;4;4;4;4;5;3;3;4;4;6;4;4;4;4;4;4;4;4;4;4;4;5;3;2;4;5;3;3;5;4;2;2;5;5;3;4;4;5;4;2;4;4;5;5;3;4;5;4;4;3;5;5;4;3;4;4;4;5;5;4;3;3;3;2;3;4;4;4;4;4;3;4;4;4;4;4;3;5;4;5;4;4;
5;3;4;5;4;5;4;4;4;4;4;5;4;4;4;4;4;3;5;3;5;4;3;5;4;3;4;5;3;4;4;4;4;4;4;4;5;4;4;3;4;4;5;3;4;4;4;4;4;4;4;4;4;5;4;4;4;3;4;4;4;5;4;4;4;4;4;3;5;4;4;4;5;4;4;4;4;5;4;3;5;4;4;3;5;4;4;4;3;5;3;4;4;4;4;4;4;4;4;4;
4;3;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;5;4;4;4;4;4;4;3;4;4;4;4;4;4;5;4;3;5;4;4;4;4;3;5;4;4;4;4;4;4;4;4;4;5;3;4;4;5;4;4;5;4;4;4;4;4;4;4;4;4;4;4;3;4;4;4;3;4;4;4;4;4;5;4;4;4;3;4;4;4;3;4;3;4;4;4;4;4;4;4;4;4;4;
4;4;4;4;3;4;4;4;4;4;4;3;4;4;4;4;5;3;5;3;4;4;4;4;4;4;4;4;3;5;4;4;4;4;3;4;4;4;4;4;4;4;4;4;4;3;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;5;4;4;5;4;4;5;3;4;4;4;4;4;4;4;4;4;4;4;5;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;
4;4;4;4;4;4;4;5;3;4;4;3;4;4;4;3;5;3;4;4;4;4;4;4;4;5;3;3;5;4;3;5;4;4;4;4;4;3;4;4;5;3;4;4;4;4;4;4;4;4;4;4;4;5;4;4;4;4;4;4;4;3;5;4;6;4;4;4;4;4;4;4;4;4;4;4;4;3;5;4;4;4;3;4;4;4;4;4;4;4;5;4;4;4;5;4;4;5;4;3;
4;4;4;5;4;4;3;5;4;4;4;4;4;4;4;4;4;4;4;5;3;4;4;3;3;3;3;5;3;4;4;4;4;4;4;5;5;5;3;4;3;5;5;5;4;4;5;3;4;5;5;2;4;5;4;4;4;4;3;4;5;6;3;4;4;5;4;3;4;5;5;5;2;4;4;4;4;3;5;4;4;3;4;4;5;6;4;4;3;4;5;4;4;4;3;3;3;3;4;5;
5;4;4;5;3;5;3;5;3;4;4;3;4;4;4;4;5;4;3;4;5;4;4;3;4;4;4;4;4;4;5;3;4;5;3;4;4;4;3;5;3;5;3;5;4;5;4;4;5;4;5;4;4;4;4;5;4;4;4;4;4;3;5;4;4;4;5;3;5;3;4;4;4;3;5;4;4;4;4;4;4;4;4;3;4;4;4;5;3;3;5;4;4;4;4;4;4;4;4;4;
4;5;5;4;4;4;4;5;4;4;4;4;5;4;5;4;4;4;5;4;4;4;4;4;4;4;4;4;5;4;5;3;4;4;4;5;5;4;4;4;4;4;4;3;5;4;4;5;4;4;4;4;4;4;4;4;4;4;4;4;5;3;4;5;4;5;5;5;4;4;4;5;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;5;4;4;3;5;3;4;4;3;4;4;
3;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;5;5;4;5;4;4;4;4;4;4;4;4;4;4;4;4;5;3;4;4;4;4;5;4;4;4;4;4;4;4;4;4;4;4;4;3;5;4;4;4;4;4;4;4;4;4;4;4;4;4;6;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;3;5;4;4;4;4;5;4;4;
4;4;5;3;4;5;4;4;4;4;4;4;4;4;4;4;4;4;4;5;4;4;4;4;4;4;5;3;5;4;4;4;4;4;5;5;3;5;4;4;4;4;3;5;3;4;4;4;4;4;4;4;4;3;4;4;4;3;4;3;5;4;4;4;4;4;4;3;5;4;3;4;5;4;4;3;3;4;4;4;4;4;4;4;5;4;4;4;5;4;5;4;4;3;4;3;5;4;4;4;
4;4;4;4;4;4;4;6;4;4;4;4;4;4;4;5;4;4;4;5;3;5;4;3;4;4;4;4;4;4;4;4;3;4;4;3;3;4;3;3;4;4;4;4;4;4;5;2;4;4;3;4;4;5;3;4;4;4;4;5;5;4;3;5;5;3;4;5;5;4;5;5;4;3;4;5;3;3;3;5;5;4;3;4;4;5;4;3;5;6;4;3;4;4;5;4;3;3;3;5;
5;5;4;4;3;3;4;4;4;3;3;3;4;4;4;5;4;5;3;5;3;4;5;4;4;4;5;3;4;5;4;4;4;4;4;4;3;4;4;4;4;4;5;3;4;4;4;4;4;5;3;5;5;4;4;4;4;4;4;3;5;3;5;5;3;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;5;4;4;5;4;4;4;4;4;5;4;4;5;4;5;4;3;5;4;4;
5;4;4;4;4;4;4;4;4;4;5;4;4;3;4;3;5;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;5;4;4;4;5;4;5;4;4;4;4;4;4;4;4;4;5;4;4;4;4;4;4;5;4;4;4;4;4;4;4;4;4;4;5;4;4;4;3;5;4;5;4;4;4;4;4;4;4;4;4;5;4;4;4;4;4;3;4;4;4;3;
4;4;4;5;2;5;4;4;4;4;3;5;3;4;4;4;4;4;4;4;4;4;5;3;4;5;3;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;5;4;4;4;4;4;4;4;4;5;4;4;5;3;4;4;4;4;5;4;4;4;4;4;4;4;4;4;4;5;4;4;4;5;4;4;4;4;4;5;5;3;4;4;4;4;4;4;4;4;4;4;4;4;4;4;5;
4;4;5;4;4;4;4;4;4;3;4;4;4;4;4;4;4;4;4;4;4;5;5;4;4;4;4;5;4;4;4;4;4;5;4;4;5;4;5;3;4;4;4;5;4;4;4;4;4;4;4;4;5;4;4;5;3;3;4;4;4;4;5;3;4;4;5;4;3;4;5;3;5;4;4;4;4;4;4;4;5;4;4;4;4;4;4;4;4;4;4;4;4;4;4;5;3;4;4;4;
4;4;3;4;3;4;5;4;4;4;5;3;5;4;4;5;3;4;4;4;3;3;4;4;5;4;3;4;4;4;4;4;3;5;3;5;4;4;4;4;4;4;3;3;4;3;4;3;4;4;4;5;4;4;4;3;4;4;4;4;4;6;4;4;4;4;4;4;3;4;5;3;3;4;5;5;3;4;6;3;4;4;5;4;3;4;4;4;4;4;5;4;3;4;5;6;4;3;4;5;
4;3;4;4;5;5;3;3;4;5;5;4;3;3;3;4;4;5;4;4;3;3;3;2;4;4;4;4;4;4;3;5;5;4;4;4;4;4;4;4;4;4;4;4;4;4;5;4;4;4;4;4;4;4;3;5;4;4;5;3;4;4;4;4;4;4;4;4;4;3;4;4;4;3;5;4;4;4;4;3;5;4;4;5;4;4;4;3;4;4;2;4;4;4;4;4;4;4;4;4;
4;4;4;4;4;4;5;5;3;4;5;3;4;5;4;4;4;4;4;4;4;3;4;4;4;5;4;4;4;4;4;5;3;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;3;4;4;4;4;4;4;4;4;4;4;4;4;4;5;3;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;5;5;4;4;4;5;4;4;
4;4;4;4;4;4;4;4;4;4;4;4;3;4;4;5;4;4;4;4;4;4;3;4;4;4;4;4;4;4;4;4;4;4;4;4;5;4;5;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;3;4;4;4;4;5;4;4;4;4;4;4;4;4;4;4;4;3;4;4;4;4;4;4;4;4;4;4;4;4;5;4;4;4;4;5;4;4;4;4;3;5;4;4;
4;5;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;3;4;5;3;5;4;3;4;4;4;4;4;4;4;4;4;4;4;4;5;4;3;5;4;4;3;4;4;4;4;4;4;4;5;4;4;4;4;3;4;4;5;5;4;4;4;4;4;5;4;5;4;4;4;3;5;4;4;4;4;4;4;4;4;3;4;4;4;5;5;3;4;4;
4;4;4;4;4;4;3;5;5;4;4;3;5;4;3;5;5;5;4;4;4;4;4;4;3;4;3;4;4;4;4;3;4;4;4;4;4;4;4;4;5;3;4;5;4;4;3;4;4;4;3;4;4;3;4;4;3;3;5;3;3;4;4;4;5;4;4;5;4;4;5;5;4;3;5;4;4;3;4;5;4;5;5;3;5;5;3;4;5;3;3;4;6;4;4;4;5;6;4;4;
4;4;5;3;5;5;2;3;4;5;4;4;3;4;5;4;3;3;4;5;6;4;3;4;4;4;5;5;4;3;4;4;4;4;4;4;2;3;3;4;4;5;4;4;4;4;4;4;4;4;4;4;4;4;3;4;4;3;4;5;4;4;4;4;4;5;4;4;4;4;4;4;3;5;4;4;4;3;4;4;5;3;4;5;3;4;5;3;4;5;4;4;4;4;4;4;4;3;5;4;
4;5;3;5;4;4;4;5;5;4;4;4;3;5;4;4;5;3;4;4;4;4;4;4;4;3;4;4;4;4;4;4;5;4;4;4;4;4;4;4;4;4;4;4;5;4;4;4;5;4;4;4;3;5;3;4;5;5;4;4;4;4;4;4;4;5;3;4;4;4;4;4;3;4;4;4;4;4;4;5;4;4;4;4;5;4;5;3;4;4;4;4;4;5;4;4;4;5;4;4;
4;4;5;4;4;5;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;3;4;4;4;4;4;4;5;4;3;3;4;4;4;4;4;5;4;4;4;4;4;4;4;4;4;3;5;4;4;5;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;5;4;5;4;4;4;4;4;5;4;4;3;4;4;4;4;4;
4;4;4;4;4;4;4;5;3;5;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;5;4;4;4;4;4;4;4;4;4;4;4;4;4;4;3;5;4;4;4;4;5;4;4;4;4;4;4;4;5;4;4;5;4;4;4;4;4;4;4;4;3;4;4;4;4;4;4;4;5;3;5;4;4;3;5;4;
4;4;5;5;4;5;3;4;4;4;5;4;4;4;4;4;4;5;4;3;5;4;5;3;5;4;4;4;4;5;4;4;4;4;4;5;5;4;4;4;5;4;3;5;4;5;4;4;4;4;4;4;5;4;4;3;4;3;4;3;3;2;4;3;4;4;4;5;3;3;4;5;5;3;5;4;3;3;3;4;4;3;5;3;5;4;5;4;6;3;4;5;4;3;4;5;3;4;4;5;
3;4;5;5;4;3;5;4;3;2;4;5;4;3;4;5;3;5;4;6;5;3;3;4;5;5;4;4;4;4;5;4;3;4;4;5;5;4;4;3;3;4;4;4;5;4;4;3;4;3;2;3;4;5;4;4;4;3;4;4;4;4;4;4;4;5;2;4;4;4;4;5;4;4;4;4;4;4;4;4;5;4;3;5;4;4;5;4;4;4;4;4;4;5;4;5;4;3;5;4;
3;4;4;5;3;4;3;5;4;4;4;3;6;4;4;4;4;4;5;3;4;4;4;5;4;4;4;3;4;4;4;4;4;5;4;4;4;5;4;4;4;4;4;4;4;4;4;4;4;4;4;4;5;5;4;3;5;4;4;4;4;4;4;4;5;5;4;4;4;3;4;4;4;4;4;4;4;4;4;5;4;4;4;5;4;4;4;4;4;5;3;4;5;3;5;3;4;4;5;4;
4;4;4;4;4;4;4;4;4;5;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;3;4;5;4;4;3;3;3;4;4;4;4;4;4;4;4;5;4;3;5;4;4;4;4;4;4;5;4;4;4;4;4;4;5;3;4;4;4;4;4;4;4;5;4;4;4;4;4;4;4;3;4;5;4;4;4;4;4;4;4;3;4;4;
4;4;4;4;4;4;4;4;4;4;4;4;5;4;4;4;4;4;4;5;3;4;4;4;4;4;4;4;4;4;4;4;4;4;4;5;3;4;5;4;4;4;4;4;4;4;4;4;4;5;4;4;5;4;3;5;4;4;4;4;4;4;4;4;4;4;3;4;4;4;3;4;4;5;4;4;4;4;4;4;4;4;4;3;4;5;4;4;4;5;4;4;5;4;4;5;3;4;4;5;
3;4;4;4;4;4;4;4;5;5;4;3;5;3;4;4;3;4;4;4;3;5;3;4;4;4;4;4;3;4;5;2;4;4;4;3;5;4;4;4;4;3;4;4;4;4;4;4;3;4;4;4;4;6;4;4;4;3;4;4;4;4;4;3;5;4;3;3;3;2;4;4;3;4;4;4;4;4;4;5;4;5;2;5;4;4;5;3;5;5;4;4;5;4;4;4;5;3;4;3;
5;4;5;4;2;5;4;4;3;5;4;2;4;5;3;3;4;4;6;3;4;5;4;4;4;4;4;5;4;4;5;3;4;5;5;5;5;3;4;4;5;4;4;2;4;4;4;5;3;4;4;4;5;5;4;4;4;4;4;3;5;4;4;2;3;4;4;4;4;5;4;4;4;4;4;4;4;5;4;4;3;5;3;5;3;4;4;4;3;4;4;4;4;4;4;4;4;4;5;3;
